,date,tweet,prediction,score
69869,2020-07-16 12:55:38+00:00,@lufthansa @lufthansa i expect my refund from march!,refunds,0.0
278491,2020-09-24 08:08:47+00:00,@Ryanair when can I expect my refund please ?,refunds,0.0
383507,2020-03-27 15:00:36+00:00,@KLM when can I expect my full refund,refunds,0.0
235411,2020-05-29 07:30:15+00:00,@Ryanair When can I expect my refund,refunds,0.0
467252,2020-03-29 21:08:15+00:00,@easyJet when can I expect my refund to be processed?,refunds,0.0
81719,2020-08-17 23:40:44+00:00,@lufthansa So I can expect my refund sometime in the next  6 weeks???,refunds,0.0
58411,2020-06-22 14:03:17+00:00,@WhichTravel @lufthansa @VirginHolidays when can I expect my refunds,refunds,0.0
234834,2020-05-29 14:57:49+00:00,@RyanairPress @Ryanair @EASA When can I expect my refund,refunds,0.0
239738,2020-05-25 15:03:37+00:00,@Ryanair And when can I expect a refund for my 12 flights?,refunds,0.0
259432,2020-07-27 17:17:14+00:00,Has anyone received their refunds from @Ryanair and @loveholidays,refunds,0.0
560473,2020-05-13 16:57:35+00:00,@ChrisRogers86 @lukejohnson17 @Fly_Norwegian Have you received your refund yet?,refunds,0.0
88240,2020-09-09 23:20:38+00:00,@Lufthansa_USA @lufthansa I still haven't received refund for my ticket...been six months.,refunds,0.0
215269,2020-03-26 16:38:57+00:00,Any one received a refund from @Ryanair yet?! 🙄🙄🙄,refunds,0.0
289073,2020-10-20 10:34:15+00:00,@Ryanair I did indeed receive my refund,refunds,0.0
173638,2020-08-20 17:59:50+00:00,Has anyone ever received their refund with @British_Airways ? #BritishAirways #britishairwaysscam #refund,refunds,0.0
413928,2020-06-15 16:41:12+00:00,"@neelia39 We received your DM, Aileen. Your refund is still on process.",refunds,0.0
61014,2020-06-13 06:38:22+00:00,"@CourtneyHuffma5 @Flight_Refunds @Expedia @lufthansa @Lufthansa_USA You are not on this alone.

I have not received my refunds too",refunds,0.0
568303,2020-09-08 18:18:05+00:00,Also still haven't received my refund for my 2 one-way @Fly_Norwegian flights. 🙃🙃🙃🙃,refunds,0.0
481906,2020-05-30 23:41:17+00:00,@paultanney1 @THarrisonNHC @jet2tweets @easyJet I have received a full refund from Jet2 also?,refunds,0.0
263516,2020-08-30 14:51:04+00:00,"@Ryanair hi, I still haven’t received my refund from may this year, is this normal?",refunds,0.0
392580,2020-04-28 19:03:24+00:00,@KLM I have just received the voucher. How about the refunds please?,refunds,0.0
214455,2020-03-28 08:52:59+00:00,@cooper_m @Ryanair Has anyone received a refund from @Ryanair ?? Still waiting.....,refunds,0.0
546604,2020-03-28 14:18:37+00:00,@Fly_Norwegian peeps: has ANYONE received their refund yet?!,refunds,0.0
334087,2020-07-06 17:53:35+00:00,"@vueling Still haven’t received my refund from April, what do you recommend?",refunds,0.0
306159,2020-03-24 13:40:32+00:00,"@SAS Hello, have you received my refund request?",refunds,0.0
318387,2020-09-28 13:25:25+00:00,@Radek70350957 @AntonK18873130 @SAS Have you received the refund yet?,refunds,0.0
323877,2020-03-27 11:40:38+00:00,"@vueling Hi, received the refund but only for one person, we were two on the flight. Could you please check?",refunds,0.0
491796,2020-05-21 19:49:58+00:00,@easyJet has anyone received a refund from Easyjet.,refunds,0.0
477258,2020-04-24 14:34:05+00:00,@easyJet still not received my refund https://t.co/6swsq9JgIb,refunds,0.0
93837,2020-10-01 22:24:49+00:00,Anyone received a refund from @lufthansa ?,refunds,0.0
263001,2020-07-25 07:08:14+00:00,@tierneytalks Still haven’t received my refund from April🤔🤔 #wheresmyrefundRyanair @Ryanair @RyanairPress,refunds,0.0
410591,2020-06-26 06:29:15+00:00,Why have I not received my refund yet from @KLM,refunds,0.0
268704,2020-08-25 09:12:30+00:00,@Ryanair @DonaldJTrumpJr Still not received my refund @Ryanair,refunds,0.0
504224,2020-07-29 17:16:01+00:00,@easyJet I've still not received my refund from APRIL!?? @easyJet,refunds,0.0
555708,2020-04-17 23:52:32+00:00,@Fly_Norwegian anyone received a refund yet?,refunds,0.0
465637,2020-03-30 09:44:47+00:00,Has anyone at all received a refund from @easyJet ? #Covid_19 #easyjetrefund,refunds,0.0
332992,2020-07-24 17:55:22+00:00,@vueling @sjurforsure Will we receive a refund this century!!!!!!!,refunds,0.0
121124,2020-03-27 12:44:31+00:00,@British_Airways I’ve not yet received  my refund from you?,refunds,0.0
562215,2020-05-01 14:24:31+00:00,@ArctanPete @BBCr4today @bbclaurak I haven't received my refund yet. @Fly_Norwegian,refunds,0.0
561817,2020-05-04 13:30:59+00:00,Have now received a refund from @Fly_Norwegian,refunds,0.0
244628,2020-06-29 10:47:32+00:00,@Ryanair I still haven’t received my refund from April.,refunds,0.0
263056,2020-07-24 23:02:31+00:00,@Ryanair Ya know what’s not just in??? Our refunds #RefundPassengers,refunds,0.0
328198,2020-04-13 08:55:17+00:00,@vueling when will I receive my refund reference VD315M,refunds,0.0
243026,2020-05-22 19:56:28+00:00,@Ryanair Weres our refunds,refunds,0.0
414082,2020-06-15 12:17:05+00:00,@KLM I ll take my refund please.,refunds,0.0
64543,2020-06-04 08:51:08+00:00,"@THEREALIWH As mentioned, you will receive the refund letter, once the refund has been processed. /John",refunds,0.0
335212,2020-08-14 17:04:00+00:00,@vueling  I 've not received my refund yet. When will you refund me?,refunds,0.0
213902,2020-03-29 19:37:57+00:00,@Ryanair when can I expect response to my refund application? https://t.co/SAtNFtbDj6,refunds,0.0
83375,2020-08-09 10:28:28+00:00,"from airline/goibibo and getting the refund of the amount paid by me ASAP.
@HardeepSPuri @goibibo @goibibo_tech @lufthansa @Lufthansa_India @PMOIndia @MoCA_GoI",refunds,-0.41200000000000003
439138,2020-10-18 14:06:56+00:00,@KLM But with still no answer to my query &amp; no refund ?? 🙄,refunds,0.0
466686,2020-03-30 07:51:42+00:00,@easyJet please reply to me and process my refund please!,refunds,0.0
398851,2020-04-06 19:58:22+00:00,@KLM still haven’t gotten a response about the refund I was promised.,refunds,0.0
222844,2020-03-20 07:35:27+00:00,@BimKenBowe @bigdaveypoo @Ryanair Has anyone got a response or refund yet?,refunds,0.0
272144,2020-08-21 10:44:05+00:00,@Ryanair Still no response regarding my refund #cancelledflight #ryanairrefund #Ryanair #outofpocket #notovoucher https://t.co/ywp6XaQeQt,refunds,0.0
219278,2020-03-21 20:10:34+00:00,@Ryanair Still no response from @Ryanair regarding my refund #jokers,refunds,0.0
269063,2020-08-24 20:24:36+00:00,Still no response from @Ryanair @RyanairFlights still no refund from May .. https://t.co/tXVK7hPw0a,refunds,0.0
